source_table,source_column,expression,target_column,target_table,file
customers,customer_id,*,customer_id,,sql/test.sql
customers,first_name,*,first_name,,sql/test.sql
customers,last_name,*,last_name,,sql/test.sql
customers,status,*,status,,sql/test.sql
customers,customer_id,*,customer_id,,sql/test_cte_alias_chain_prune.sql
customers,customer_id,*,customer_id,,sql/test_cte_complex.sql
customers,first_name,*,first_name,,sql/test_cte_complex.sql
customers,last_name,*,last_name,,sql/test_cte_complex.sql
customers,status,*,status,,sql/test_cte_complex.sql
orders,customer_id,*,customer_id,,sql/test_cte_expression_alias.sql
orders,total_amount,*,tax,,sql/test_cte_expression_alias.sql
orders,total_amount,*,adjusted,,sql/test_cte_expression_alias.sql
orders,order_id,*,order_id,,sql/test_cte_join_star.sql
orders,customer_id,*,customer_id,,sql/test_cte_join_star.sql
customers,first_name,*,first_name,,sql/test_cte_join_star.sql
customers,customer_id,*,customer_id,,sql/test_cte_join_star_prune.sql
customers,customer_id,customer_id,customer_id,,sql/test_cte_mixed_star_explicit.sql
customers,first_name,*,first_name,,sql/test_cte_mixed_star_explicit.sql
customers,customer_id,*,customer_id,,sql/test_cte_nested_subquery.sql
customers,first_name,*,first_name,,sql/test_cte_nested_subquery.sql
customers,customer_id,*,customer_id,,sql/test_cte_projection_prune.sql
customers,first_name,*,first_name,,sql/test_cte_projection_prune.sql
customers,customer_id,*,customer_id,,sql/test_cte_union_star.sql
customers,first_name,*,first_name,,sql/test_cte_union_star.sql
customers,customer_id,c.customer_id,customer_id,,sql/test_plain_complex.sql
customers,first_name,UPPER(c.first_name),first_name_upper,,sql/test_plain_complex.sql
orders,order_id,o.order_id,order_id,,sql/test_plain_complex.sql
orders,total_amount,o.total_amount * 1.1,gross_amount,,sql/test_plain_complex.sql
orders,total_amount,CASE WHEN o.total_amount > 100 THEN 'LARGE' ELSE 'SMALL' END,size_flag,,sql/test_plain_complex.sql
orders,customer_id,t.rank_in_group,rank_in_group,,sql/test_plain_complex.sql
orders,total_amount,t.rank_in_group,rank_in_group,,sql/test_plain_complex.sql
